,price
83475,886
5466,6212
101740,545
25483,1035
48480,2550
102,5889
18432,626
129741,13127
46148,2155
50270,2125
89228,776
29868,18306
148204,1889
16953,3428
154438,1890
48686,7305
68361,2211
147553,1680
104458,5504
20,1133
107244,730
91554,3130
65111,3370
24169,2694
83293,507
37417,702
41518,572
110096,4759
137272,10055
142058,2201
25876,880
16252,995
107204,5085
16367,1763
120680,3034
79682,1746
100273,2738
17553,13063
134750,5430
137947,1669
119542,1121
111397,821
98341,848
14897,5983
100308,7437
71207,791
76247,4485
48882,13239
119231,1061
149126,572
45664,914
36259,1680
21667,855
115299,3419
153982,1957
97337,9471
140136,14383
55021,12614
8686,4698
12603,6871
100249,628
116262,1282
34015,773
34760,1211
59098,1676
62141,867
35041,787
132925,391
45491,2351
1623,4586
55970,3182
4691,4381
17976,12738
29004,2165
83465,7887
109576,955
70020,5004
10619,2347
88911,5661
67865,755
30930,4740
143717,3030
40892,4338
123305,868
68828,854
146443,896
91503,893
102443,5543
64718,5139
77607,2230
57931,5006
43450,2061
74190,695
5093,17254
6284,530
138733,8265
37287,665
10850,925
21919,1609
90559,1244
30483,3220
24416,3717
147042,2426
103044,841
105497,2952
33989,4956
68938,452
63181,1580
27789,3047
53823,1264
113902,6742
135737,5516
41341,1343
27977,6798
121737,2994
70093,967
20302,5052
30559,7027
2268,4586
5146,758
24420,1442
128186,12400
44240,1668
8161,2633
45316,4715
98437,10033
111075,2064
41897,7286
32290,729
18896,8038
105321,6350
55095,3611
26553,7731
126653,879
60090,4416
27907,7161
107326,473
17719,3416
94304,945
13072,9542
94433,3298
98463,603
66374,2811
12165,487
80731,5604
67557,605
145044,2398
79651,1056
35105,2331
34274,6416
34620,911
13735,4704
154367,990
42880,734
144351,936
108187,7992
137890,1399
121525,7503
31574,9740
13319,1788
45199,742
6556,552
82837,640
47393,11434
23938,789
19664,1103
118882,1117
19837,612
44538,12931
15404,3688
35231,3805
81072,5868
59849,2387
34687,10340
19331,3950
60342,1009
46731,995
118359,778
32205,5347
112687,6692
106402,1554
137781,658
74355,4301
23061,493
61732,2717
35420,1239
66750,18780
62252,6847
